x,y,Analytical solution,Numerical solution
0.5,-0.9,0.1425,0.142487
0.5,-0.8,0.27,0.269973
0.5,-0.7,0.3825,0.382462
0.5,-0.6,0.48,0.47995
0.5,-0.5,0.5625,0.56244
0.5,-0.4,0.63,0.629931
0.5,-0.3,0.6825,0.682425
0.5,-0.2,0.72,0.719918
0.5,-0.1,0.7425,0.742416
0.5,0,0.75,0.749914
0.5,0.1,0.7425,0.742416
0.5,0.2,0.72,0.719918
0.5,0.3,0.6825,0.682425
0.5,0.4,0.63,0.629931
0.5,0.5,0.5625,0.56244
0.5,0.6,0.48,0.47995
0.5,0.7,0.3825,0.382462
0.5,0.8,0.27,0.269973
0.5,0.9,0.1425,0.142487
0.6,-0.9,0.1216,0.121589
0.6,-0.8,0.2304,0.230378
0.6,-0.7,0.3264,0.326368
0.6,-0.6,0.4096,0.409559
0.6,-0.5,0.48,0.47995
0.6,-0.4,0.5376,0.537543
0.6,-0.3,0.5824,0.582336
0.6,-0.2,0.6144,0.614333
0.6,-0.1,0.6336,0.63353
0.6,0,0.64,0.63993
0.6,0.1,0.6336,0.63353
0.6,0.2,0.6144,0.614333
0.6,0.3,0.5824,0.582336
0.6,0.4,0.5376,0.537543
0.6,0.5,0.48,0.47995
0.6,0.6,0.4096,0.409559
0.6,0.7,0.3264,0.326368
0.6,0.8,0.2304,0.230378
0.6,0.9,0.1216,0.121589
0.7,-0.9,0.0969,0.0968915
0.7,-0.8,0.1836,0.183583
0.7,-0.7,0.2601,0.260075
0.7,-0.6,0.3264,0.326368
0.7,-0.5,0.3825,0.382462
0.7,-0.4,0.4284,0.428355
0.7,-0.3,0.4641,0.464052
0.7,-0.2,0.4896,0.489548
0.7,-0.1,0.5049,0.504846
0.7,0,0.51,0.509945
0.7,0.1,0.5049,0.504846
0.7,0.2,0.4896,0.489548
0.7,0.3,0.4641,0.464052
0.7,0.4,0.4284,0.428355
0.7,0.5,0.3825,0.382462
0.7,0.6,0.3264,0.326368
0.7,0.7,0.2601,0.260075
0.7,0.8,0.1836,0.183583
0.7,0.9,0.0969,0.0968915
0.8,-0.9,0.0684,0.0683941
0.8,-0.8,0.1296,0.129589
0.8,-0.7,0.1836,0.183583
0.8,-0.6,0.2304,0.230378
0.8,-0.5,0.27,0.269973
0.8,-0.4,0.3024,0.30237
0.8,-0.3,0.3276,0.327567
0.8,-0.2,0.3456,0.345565
0.8,-0.1,0.3564,0.356363
0.8,0,0.36,0.359963
0.8,0.1,0.3564,0.356363
0.8,0.2,0.3456,0.345565
0.8,0.3,0.3276,0.327567
0.8,0.4,0.3024,0.30237
0.8,0.5,0.27,0.269973
0.8,0.6,0.2304,0.230378
0.8,0.7,0.1836,0.183583
0.8,0.8,0.1296,0.129589
0.8,0.9,0.0684,0.0683941
0.9,-0.9,0.0361,0.0360971
0.9,-0.8,0.0684,0.0683941
0.9,-0.7,0.0969,0.0968915
0.9,-0.6,0.1216,0.121589
0.9,-0.5,0.1425,0.142487
0.9,-0.4,0.1596,0.159585
0.9,-0.3,0.1729,0.172883
0.9,-0.2,0.1824,0.182382
0.9,-0.1,0.1881,0.188081
0.9,0,0.19,0.189981
0.9,0.1,0.1881,0.188081
0.9,0.2,0.1824,0.182382
0.9,0.3,0.1729,0.172883
0.9,0.4,0.1596,0.159585
0.9,0.5,0.1425,0.142487
0.9,0.6,0.1216,0.121589
0.9,0.7,0.0969,0.0968915
0.9,0.8,0.0684,0.0683941
0.9,0.9,0.0361,0.0360971
