x,y,Analytical solution,Numerical solution
-0.98995,0.175879,0.0193808,0.0193808
-0.98995,0.18593,0.0193081,0.0193081
-0.98995,0.19598,0.0192313,0.0192314
-0.98995,0.20603,0.0191505,0.0191505
-0.98995,0.21608,0.0190657,0.0190657
-0.98995,0.226131,0.0189768,0.0189768
-0.98995,0.236181,0.0188839,0.0188839
-0.98995,0.246231,0.0187869,0.0187869
-0.98995,0.256281,0.0186859,0.0186859
-0.98995,0.266332,0.0185809,0.0185809
-0.98995,0.276382,0.0184718,0.0184718
-0.98995,0.286432,0.0183586,0.0183587
-0.98995,0.296482,0.0182415,0.0182415
-0.98995,0.306533,0.0181203,0.0181203
-0.98995,0.316583,0.017995,0.017995
-0.98995,0.326633,0.0178657,0.0178658
-0.98995,0.336683,0.0177324,0.0177324
-0.98995,0.346734,0.017595,0.0175951
-0.98995,0.356784,0.0174536,0.0174537
-0.98995,0.366834,0.0173082,0.0173082
-0.98995,0.376884,0.0171587,0.0171587
-0.98995,0.386935,0.0170052,0.0170052
-0.98995,0.396985,0.0168476,0.0168476
-0.98995,0.407035,0.016686,0.016686
-0.98995,0.417085,0.0165204,0.0165204
-0.98995,0.427136,0.0163507,0.0163507
-0.98995,0.437186,0.0161769,0.016177
-0.98995,0.447236,0.0159992,0.0159992
-0.98995,0.457286,0.0158174,0.0158174
-0.98995,0.467337,0.0156315,0.0156315
-0.98995,0.477387,0.0154416,0.0154416
-0.98995,0.487437,0.0152477,0.0152477
-0.98995,0.497487,0.0150497,0.0150497
-0.98995,0.507538,0.0148477,0.0148477
-0.98995,0.517588,0.0146417,0.0146417
-0.98995,0.527638,0.0144316,0.0144316
-0.98995,0.537688,0.0142174,0.0142175
-0.98995,0.547739,0.0139993,0.0139993
-0.98995,0.557789,0.0137771,0.0137771
-0.98995,0.567839,0.0135508,0.0135508
-0.98995,0.577889,0.0133205,0.0133205
-0.98995,0.58794,0.0130862,0.0130862
-0.98995,0.59799,0.0128478,0.0128478
-0.98995,0.60804,0.0126054,0.0126054
-0.98995,0.61809,0.012359,0.012359
-0.98995,0.628141,0.0121085,0.0121085
-0.98995,0.638191,0.0118539,0.0118539
-0.98995,0.648241,0.0115954,0.0115954
-0.98995,0.658291,0.0113327,0.0113328
-0.98995,0.668342,0.0110661,0.0110661
-0.98995,0.678392,0.0107954,0.0107954
-0.98995,0.688442,0.0105207,0.0105207
-0.98995,0.698492,0.0102419,0.0102419
-0.98995,0.708543,0.00995908,0.00995909
-0.98995,0.718593,0.00967222,0.00967224
-0.98995,0.728643,0.00938133,0.00938134
-0.98995,0.738693,0.0090864,0.00908641
-0.98995,0.748744,0.00878742,0.00878743
-0.98995,0.758794,0.00848441,0.00848442
-0.98995,0.768844,0.00817735,0.00817736
-0.98995,0.778894,0.00786626,0.00786627
-0.98995,0.788945,0.00755112,0.00755113
-0.98995,0.798995,0.00723195,0.00723196
-0.98995,0.809045,0.00690873,0.00690874
-0.98995,0.819095,0.00658148,0.00658149
-0.98995,0.829146,0.00625018,0.00625019
-0.98995,0.839196,0.00591484,0.00591485
-0.98995,0.849246,0.00557547,0.00557548
-0.98995,0.859296,0.00523205,0.00523206
-0.98995,0.869347,0.00488459,0.0048846
-0.98995,0.879397,0.0045331,0.0045331
-0.98995,0.889447,0.00417756,0.00417757
-0.98995,0.899498,0.00381798,0.00381799
-0.98995,0.909548,0.00345437,0.00345437
-0.98995,0.919598,0.00308671,0.00308671
-0.98995,0.929648,0.00271501,0.00271501
-0.98995,0.939698,0.00233927,0.00233928
